Subject,Image,Width,Height,Brightness,Contrast,Edge_Ratio
001,1-01.jpg,200,200,114.158125,48.87900747237381,3.0949999999999998
001,1-02.jpg,200,200,99.549525,41.251949011827,2.4175
001,1-04.jpg,200,200,90.695975,39.20776700858358,3.1325
001,1-09.jpg,200,200,94.8216,33.21347276994684,2.8400000000000003
001,1-10.jpg,200,200,104.20095,40.94248367035761,2.1475
001,1-12.jpg,200,200,89.670275,37.25189332670724,3.8350000000000004
001,1-13.jpg,200,200,86.38975,37.80333708731942,4.21
002,10-01.jpg,200,200,85.930925,43.92653131814957,2.0549999999999997
002,10-04.jpg,200,200,83.8114,37.00696056203481,2.8449999999999998
002,10-05.jpg,200,200,79.115375,33.39138382291718,2.445
002,10-06.jpg,200,200,79.8231,32.799275241840334,2.71
002,10-09.jpg,200,200,78.111675,30.01124462088127,2.1675
002,10-10.jpg,200,200,83.29855,39.93528349589496,2.7425
002,10-12.jpg,200,200,77.860625,33.53949462364296,2.8575
003,100-01.jpg,200,200,103.971875,38.693984467671136,2.6149999999999998
003,100-03.jpg,200,200,78.850275,32.45324186309243,4.8950000000000005
003,100-08.jpg,200,200,112.60765,50.40166724898592,4.585
003,100-09.jpg,200,200,65.72975,37.477370037630706,2.8175
003,100-11.jpg,200,200,71.730525,34.05125560422662,3.225
003,100-13.jpg,200,200,51.82655,27.21150519720473,2.8225
003,100-14.jpg,200,200,14.614725,7.417552707893285,0.0
004,101-01.jpg,200,200,119.840175,60.83038041118414,3.8600000000000003
004,101-02.jpg,200,200,114.188625,52.43771682300226,4.4025
004,101-06.jpg,200,200,98.22975,51.133901327177256,4.695
004,101-07.jpg,200,200,90.03975,54.009329471282086,4.1375
004,101-08.jpg,200,200,93.9103,53.9010037375001,4.3475
004,101-10.jpg,200,200,100.83915,61.748147561505846,2.4475000000000002
004,101-11.jpg,200,200,95.025775,48.08359554618784,3.7975000000000003
005,102-01.jpg,200,200,117.940425,44.52252211880381,2.675
005,102-03.jpg,200,200,88.9093,37.84259668032838,4.045
005,102-05.jpg,200,200,84.676625,41.62398952058025,3.485
005,102-08.jpg,200,200,91.400375,38.504224117093635,2.5075
005,102-09.jpg,200,200,129.370075,43.86740383809344,2.6175
005,102-10.jpg,200,200,110.628775,37.37230280567917,2.7225
005,102-11.jpg,200,200,82.087225,40.1916622796243,3.8025
006,103-01.jpg,200,200,119.824,46.78687875889992,2.835
006,103-03.jpg,200,200,108.779025,47.5338831261383,0.48250000000000004
006,103-05.jpg,200,200,76.56555,42.079140357159154,4.09
006,103-09.jpg,200,200,88.70155,40.20782420869724,3.61
006,103-12.jpg,200,200,72.237525,41.537057633809056,4.3999999999999995
006,103-13.jpg,200,200,59.7673,36.57694151661672,3.4675
006,103-14.jpg,200,200,17.549275,10.366466224050267,0.0
007,104-01.jpg,200,200,120.1715,40.39590001163484,3.055
007,104-03.jpg,200,200,88.3662,46.339122213956536,3.7275
007,104-04.jpg,200,200,89.322825,44.46914670891915,3.675
007,104-06.jpg,200,200,88.611925,47.14583993094592,3.9325
007,104-10.jpg,200,200,95.40525,56.29101280344403,2.6224999999999996
007,104-11.jpg,200,200,88.4136,46.85914302502768,3.945
007,104-13.jpg,200,200,54.191525,34.759970413888084,2.9475000000000002
008,105-04.jpg,200,200,70.121525,49.6956875058025,3.855
008,105-06.jpg,200,200,77.278675,47.784657215934644,3.615
008,105-08.jpg,200,200,64.1127,48.06084995825604,3.1850000000000005
008,105-10.jpg,200,200,80.9286,58.106958292789685,4.2075000000000005
008,105-11.jpg,200,200,75.626675,48.05890035617102,3.5700000000000003
008,105-12.jpg,200,200,74.112425,47.52488227885867,4.245
008,105-13.jpg,200,200,43.464225,30.191048675880324,1.8599999999999999
009,106-02.jpg,200,200,89.95345,46.82520296910095,3.6374999999999997
009,106-04.jpg,200,200,84.31425,39.61390345494243,4.237500000000001
009,106-06.jpg,200,200,100.292725,58.887539319234385,4.085
009,106-10.jpg,200,200,94.54085,45.622305742668246,4.5925
009,106-12.jpg,200,200,74.56025,37.494108469698276,5.4825
009,106-13.jpg,200,200,75.294425,37.670179040182106,3.8699999999999997
009,106-14.jpg,200,200,11.669425,9.98511117461268,0.0
010,107-02.jpg,200,200,81.37075,38.21425381238655,2.8325
010,107-04.jpg,200,200,75.808275,35.505430803250015,2.405
010,107-05.jpg,200,200,75.389475,33.40157607395757,2.1425
010,107-06.jpg,200,200,74.543825,30.009246564507,2.535
